Epoch   1 | Train Loss: 0.091991 | Test Loss:  0.084227
Epoch   2 | Train Loss: 0.084556 | Test Loss:  0.084105
Epoch   3 | Train Loss: 0.081956 | Test Loss:  0.080239
Epoch   4 | Train Loss: 0.080281 | Test Loss:  0.079599
Epoch   5 | Train Loss: 0.079082 | Test Loss:  0.078037
Epoch   6 | Train Loss: 0.078163 | Test Loss:  0.076707
Epoch   7 | Train Loss: 0.077417 | Test Loss:  0.077223
Epoch   8 | Train Loss: 0.076788 | Test Loss:  0.078723
Epoch   9 | Train Loss: 0.076327 | Test Loss:  0.075848
Epoch  10 | Train Loss: 0.075820 | Test Loss:  0.075456
