Epoch   1 | Train Loss: 0.095276 | Test Loss:  0.087934
Epoch   2 | Train Loss: 0.087956 | Test Loss:  0.085120
Epoch   3 | Train Loss: 0.085499 | Test Loss:  0.083672
Epoch   4 | Train Loss: 0.083922 | Test Loss:  0.083172
Epoch   5 | Train Loss: 0.082811 | Test Loss:  0.082391
Epoch   6 | Train Loss: 0.081977 | Test Loss:  0.081263
Epoch   7 | Train Loss: 0.081287 | Test Loss:  0.080606
Epoch   8 | Train Loss: 0.080679 | Test Loss:  0.080634
Epoch   9 | Train Loss: 0.080450 | Test Loss:  0.079572
Epoch  10 | Train Loss: 0.079858 | Test Loss:  0.082041
Epoch  11 | Train Loss: 0.079424 | Test Loss:  0.078233
Epoch  12 | Train Loss: 0.079359 | Test Loss:  0.078618
Epoch  13 | Train Loss: 0.079076 | Test Loss:  0.080974
Epoch  14 | Train Loss: 0.078849 | Test Loss:  0.077478
Epoch  15 | Train Loss: 0.080384 | Test Loss:  0.077973
Epoch  16 | Train Loss: 0.078391 | Test Loss:  0.077208
Epoch  17 | Train Loss: 0.078356 | Test Loss:  0.077203
Epoch  18 | Train Loss: 0.078012 | Test Loss:  0.078114
Epoch  19 | Train Loss: 0.078163 | Test Loss:  0.077193
Epoch  20 | Train Loss: 0.077867 | Test Loss:  0.076033
Epoch  21 | Train Loss: 0.077358 | Test Loss:  0.076340
Epoch  22 | Train Loss: 0.077237 | Test Loss:  0.078287
Epoch  23 | Train Loss: 0.076987 | Test Loss:  0.076855
Epoch  24 | Train Loss: 0.076937 | Test Loss:  0.076855
Epoch  25 | Train Loss: 0.078472 | Test Loss:  0.078454
Epoch  26 | Train Loss: 0.077263 | Test Loss:  0.081532
Epoch  27 | Train Loss: 0.076940 | Test Loss:  0.075391
Epoch  28 | Train Loss: 0.076986 | Test Loss:  0.075738
Epoch  29 | Train Loss: 0.076509 | Test Loss:  0.076092
Epoch  30 | Train Loss: 0.076745 | Test Loss:  0.077533
Epoch  31 | Train Loss: 0.076336 | Test Loss:  0.075176
Epoch  32 | Train Loss: 0.076499 | Test Loss:  0.075789
Epoch  33 | Train Loss: 0.076918 | Test Loss:  0.078460
Epoch  34 | Train Loss: 0.077075 | Test Loss:  0.076345
Epoch  35 | Train Loss: 0.076938 | Test Loss:  0.076492
Epoch  36 | Train Loss: 0.076589 | Test Loss:  0.077373
Epoch  37 | Train Loss: 0.077325 | Test Loss:  0.075326
Epoch  38 | Train Loss: 0.079142 | Test Loss:  0.077226
Epoch  39 | Train Loss: 0.077373 | Test Loss:  0.075950
Epoch  40 | Train Loss: 0.076475 | Test Loss:  0.077872
Epoch  41 | Train Loss: 0.076356 | Test Loss:  0.075026
Epoch  42 | Train Loss: 0.076283 | Test Loss:  0.076766
Epoch  43 | Train Loss: 0.077031 | Test Loss:  0.075333
Epoch  44 | Train Loss: 0.076621 | Test Loss:  0.076681
Epoch  45 | Train Loss: 0.076100 | Test Loss:  0.076401
Epoch  46 | Train Loss: 0.076062 | Test Loss:  0.074483
Epoch  47 | Train Loss: 0.075932 | Test Loss:  0.074539
Epoch  48 | Train Loss: 0.077302 | Test Loss:  0.076235
Epoch  49 | Train Loss: 0.077376 | Test Loss:  0.079814
Epoch  50 | Train Loss: 0.076488 | Test Loss:  0.075150
