Epoch   1 | Train Loss: 0.061302 | Test Loss:  0.031493
Epoch   2 | Train Loss: 0.026357 | Test Loss:  0.022241
Epoch   3 | Train Loss: 0.020469 | Test Loss:  0.019635
Epoch   4 | Train Loss: 0.017590 | Test Loss:  0.016192
Epoch   5 | Train Loss: 0.015397 | Test Loss:  0.015210
Epoch   6 | Train Loss: 0.013720 | Test Loss:  0.014902
Epoch   7 | Train Loss: 0.012342 | Test Loss:  0.013364
Epoch   8 | Train Loss: 0.011461 | Test Loss:  0.011809
Epoch   9 | Train Loss: 0.010659 | Test Loss:  0.012261
Epoch  10 | Train Loss: 0.009805 | Test Loss:  0.011047
