Epoch   1 | Train Loss: 0.020775 | Test Loss:  0.011677
Epoch   2 | Train Loss: 0.009391 | Test Loss:  0.007839
Epoch   3 | Train Loss: 0.007451 | Test Loss:  0.006649
Epoch   4 | Train Loss: 0.006528 | Test Loss:  0.006729
Epoch   5 | Train Loss: 0.005922 | Test Loss:  0.005965
Epoch   6 | Train Loss: 0.005545 | Test Loss:  0.005736
Epoch   7 | Train Loss: 0.005210 | Test Loss:  0.005572
Epoch   8 | Train Loss: 0.004965 | Test Loss:  0.005497
Epoch   9 | Train Loss: 0.004738 | Test Loss:  0.004945
Epoch  10 | Train Loss: 0.004565 | Test Loss:  0.004892
